Year,Nutrients(tonnes),SyntheticFert(tonnes),Pesticides(tonnes),Temp_ann_degC,LandUsed,LandIrrigated
1990,12018000,10591700,75000,24.21,181413,49500.0
1991,12728085,11264780,72133,24.28,181586,49700.0
1992,12154409,11797429,70791,24.15,181305,49900.0
1993,12385271,12290419,66388,24.43,181382,50101.0
1994,13563669,13310036,61357,24.46,181291,51577.0
1995,13876235,13751992,61257,25.29,180945,53053.0
1996,14338041,14442286,56114,24.55,180589,54529.0
1997,16187986,15262658,52279,24.1,180981,56005.0
1998,16797504,15895257,49157,24.76,180874,57480.0
1999,18056730,16220750,46195,24.67,181021,58956.0
2000,16702300,15288280,44958,24.6,180975,60432.0
2001,17344311,15834245,43720,24.73,180487,61908.0
2002,16095991,14656894,42483,25.0,180560,62593.0
2003,16807212,15509005,41245,24.72,180249,63277.0
2004,18406670,16397820,35113,24.74,180375,63962.0
2005,20347381,17813474,35342,24.58,180126,64646.0
2006,21642119,19265215,37423,25.06,179906,65209.0
2007,22571108,20184731,27423,24.77,179620,65771.0
2008,24228437,20809341,14485,24.61,179757,66334.0
2009,26445526,21781720,28707,25.11,180068,67700.0
2010,28110244,23030914,40094,25.13,179573,67700.0
2011,28373686,24314556,55540,24.67,179670,67800.0
2012,25536100,23549260,52980,24.69,179642,69586.0
2013,24482500,23450140,45620,24.82,179698,69748.8
2014,25581400,23729440,56268,24.73,179728,69911.6
2015,26752600,24321220,56720,24.91,179675,70074.4
2016,25949100,23429560,58634,26.45,179578,70237.2
2017,26590900,23741200,63406,26.29,179578,70400.0
2018,27375200,24679480,59670,25.9,179578,70400.0
2019,28969600,23950080,61702,25.86,179578,70400.0
