,Year,LandIrrigated
0,1990,49500.0
1,1991,49700.0
2,1992,49900.0
3,1993,50101.0
4,1994,51577.0
5,1995,53053.0
6,1996,54529.0
7,1997,56005.0
8,1998,57480.0
9,1999,58956.0
10,2000,60432.0
11,2001,61908.0
12,2002,62593.0
13,2003,63277.0
14,2004,63962.0
15,2005,64646.0
16,2006,65209.0
17,2007,65771.0
18,2008,66334.0
19,2009,67700.0
20,2010,67700.0
21,2011,67800.0
22,2012,69586.0
23,2013,69748.8
24,2014,69911.6
25,2015,70074.4
26,2016,70237.2
27,2017,70400.0
28,2018,70400.0
29,2019,70400.0
