Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1990,1990,1000 ha,181413,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1991,1991,1000 ha,181586,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1992,1992,1000 ha,181305,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1993,1993,1000 ha,181382,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1994,1994,1000 ha,181291,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1995,1995,1000 ha,180945,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1996,1996,1000 ha,180589,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1997,1997,1000 ha,180981,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1998,1998,1000 ha,180874,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1999,1999,1000 ha,181021,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,2000,2000,1000 ha,180975,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,2001,2001,1000 ha,180487,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,2002,2002,1000 ha,180560,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,2003,2003,1000 ha,180249,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,2004,2004,1000 ha,180375,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,2005,2005,1000 ha,180126,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,2006,2006,1000 ha,179906,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,2007,2007,1000 ha,179620,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,2008,2008,1000 ha,179757,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,2009,2009,1000 ha,180068,Q,Official data reported on FAO Questionnaires from countries
RL,Land Use,100,India,5110,Area,6610,Agricultural land,2010,2010,1000 ha,179573,Q,Official data reported on FAO Questionnaires from countries
RL,Land Use,100,India,5110,Area,6610,Agricultural land,2011,2011,1000 ha,179670,Q,Official data reported on FAO Questionnaires from countries
RL,Land Use,100,India,5110,Area,6610,Agricultural land,2012,2012,1000 ha,179642,Q,Official data reported on FAO Questionnaires from countries
RL,Land Use,100,India,5110,Area,6610,Agricultural land,2013,2013,1000 ha,179698,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,2014,2014,1000 ha,179728,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,2015,2015,1000 ha,179675,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,2016,2016,1000 ha,179578,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,2017,2017,1000 ha,179578,Fm,Manual Estimation
RL,Land Use,100,India,5110,Area,6610,Agricultural land,2018,2018,1000 ha,179578,Fm,Manual Estimation
RL,Land Use,100,India,5110,Area,6610,Agricultural land,2019,2019,1000 ha,179578,Fm,Manual Estimation
